AHPS NAME,PROXIMITY,RIVER WATERBODY NAME,NWSLI,LOCATION TYPE,USGS ID,LATITUDE,LONGITUDE,WFO,RFC,STATE,HUC2,INUNDATION,ELEVATION,ACTION STAGE,FLOOD STAGE,MODERATE FLOOD STAGE,MAJOR FLOOD STAGE,FLOOD STAGE UNIT,COEID,HYDROGRAPH,PEDTS,IN SERVICE,LOW WATER THRESHOLD VALUE / UNITS,FORECAST STATUS,DISPLAY LOW WATER IMPACTS,LOW FLOW DISPLAY,GIVE DATA ATTRIBUTION,ATTRIBUTION WORDING,FEMA WMS,PROBABILISTIC SITE,WEEKLY CHANCE PROBABILISTIC ENABLED,SHORT-TERM PROBABILISTIC ENABLED,CHANCE OF EXCEEDING PROBABILISTIC ENABLED,NRLDB VERTICAL DATUM NAME,NRLDB VERTICAL DATUM,NAVD88 VERTICAL DATUM,NGVD29 VERTICAL DATUM,MSL VERTICAL DATUM,OTHER VERTICAL DATUM,COUNTY,TIME ZONE
Blacksburg,near,Broad River in NC/SC,BBGS1,River Stage/Flow Location,US02153200,35.124017,-81.587872,GSP,SERFC,SC,South Atlantic-Gulf Region,No,,13,16,22,25,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=gsp&gage=bbgs1,HGIRG,Yes,0 Feet,Year-round,No,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NAVD88,545.75,545.75 ft,,,,Cherokee,America/New_York
Hooper Road,at,Beaver Bayou,BBHL1,River Stage/Flow Location,US07378083,30.560833,-91.020833,LIX,LMRFC,LA,Lower Mississippi Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=lix&gage=bbhl1,HGIRG,Yes,-9999 Feet,No routine,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NGVD29,,,,,,East Baton Rouge Parish,America/Chicago
Bayou Boeuf at Kraemer,at,Barataria Bay and Waterway,BBKL1,River Stage/Flow Location,,29.869167,-90.595278,LIX,LMRFC,LA,South Atlantic-Gulf Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=lix&gage=bbkl1,HGIRG,Yes,-9999 Feet,No routine,No,No,Yes,US Geological Survey,No,No,N/A,N/A,N/A,NGVD88,,,,,,Lafourche Parish,America/Chicago
Blue Bell,near,French Creek (SD),BBLS2,River Stage/Flow Location,,43.716231,-103.4752,UNR,MBRFC,SD,Missouri Region,No,,4819,4820,4822,4824,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=unr&gage=bbls2,HGIRG,Yes,-9999 Feet,No routine,No,No,Yes,SD DANR,Yes,No,N/A,N/A,N/A,NAVD88,0,0,,,,Custer,America/Denver
Montgomery,at,Blackberry Creek,BBMI2,River Stage/Flow Location,US05551675,41.740833,-88.383333,LOT,NCRFC,IL,Upper Mississippi Region,No,,8,10,11.5,12.5,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=lot&gage=bbmi2,HGIRG,Yes,3 Feet,No routine,Yes,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NAVD88,653.74,653.74,,,,Kane,America/Chicago
Marlboro,at,Big Brook,BBMN4,River Stage/Flow Location,US01407290,40.319722,-74.214167,PHI,MARFC,NJ,Mid Atlantic Region,No,80.0,17,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=phi&gage=bbmn4,HGIRG,Yes,,Data Point,Yes,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,,80,,80.0,,,Monmouth,America/New_York
Amelia,at,Bayou Boeuf,BBOL1,River Stage/Flow Location,,29.668333,-91.098333,LIX,LMRFC,LA,Lower Mississippi Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=lix&gage=bbol1,HGIRG,Yes,-9999 Feet,No routine,No,No,Yes,U. S. Army Corps of Engineers,Yes,No,N/A,N/A,N/A,,,,,,,Assumption Parish,America/Chicago
West Baraboo,at,Baraboo River,BBOW3,Stage/Flow and Precipitation Location,,43.470833,-89.759444,MKX,NCRFC,WI,Upper Mississippi Region,No,,7,9,10.5,12.5,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=mkx&gage=bbow3,HGIRG,Yes,-9999 Feet,High Water,No,No,Yes,NWS & Sauk Co. Em. Manage.,Yes,Yes,Yes,Yes,Yes,NAVD88,835.06,835.06 ft,,,,Sauk,America/Chicago
Portland,at,Bayou Bartholomew,BBPA4,River Stage/Flow Location,US07364185,33.235600,-91.5356,JAN,LMRFC,AR,Lower Mississippi Region,No,86.85,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=jan&gage=bbpa4,HGIRG,Yes,-9999 Feet,No routine,Yes,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NGVD 1929,86.85,,86.85,,,Ashley,America/Chicago
Bridgeport,near,Burnt River,BBPO3,River Stage/Flow Location,,44.503600,-117.7281,BOI,NWRFC,OR,Pacific Northwest Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=boi&gage=bbpo3,QRIRZ,Yes,-9999 Feet,No routine,No,No,No,US Geological Survey,No,No,N/A,N/A,N/A,,,,,,,Baker,America/Los_Angeles
Back Branch,,,BBRK2,Precipitation Location,,37.708860,-83.13232,JKL,OHRFC,KY,Ohio Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=jkl&gage=bbrk2,,Yes,,,No,No,No,US Geological Survey,No,No,N/A,N/A,N/A,,,,,,,Magoffin,America/New_York
Bayou Fountain near Baton Rouge,at,Amite River Basin,BBRL1,River Stage/Flow Location,US07378810,30.358333,-91.108056,LIX,LMRFC,LA,South Atlantic-Gulf Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=lix&gage=bbrl1,HGIRG,Yes,-9999 Feet,No routine,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NAVD88,,,,,,East Baton Rouge Parish,America/Chicago
Depot Mountain,near,Big Black River,BBRM1,River Stage/Flow Location,US01010070,46.893889,-69.752222,CAR,NERFC,ME,New England Region,No,885 ft,11,12,14,16,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=car&gage=bbrm1,HGIRG,Yes,-9999 Feet,High Water,No,No,Yes,US Geological Survey,No,Yes,Yes,Yes,Yes,NGVD29,885,,885 ft,,,Aroostook,America/New_York
Paint Creek Dam at Bainbridge,below,Paint Creek,BBRO1,River Stage/Flow Location,US03232470,39.252288,-83.349358,ILN,OHRFC,OH,Ohio Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=iln&gage=bbro1,HTIRG,Yes,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,No,No,N/A,N/A,N/A,NGVD29,746,,,,NULL,Ross,America/New_York
Buffalo Bill Reservoir,above,South Fork Shoshone River,BBRW4,River Stage/Flow Location,US06281000,44.419110,-109.25825,RIW,MBRFC,WY,Missouri Region,No,5440.0 ft,8.5,9.5,10.5,12,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=riw&gage=bbrw4,HGIRG,Yes,-9999 Feet,High Water,No,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NGVD 1929,5440,,5440.0 ft,,,Park,America/Denver
Slidell,at,Bayou Bonfouca,BBSL1,River Stage/Flow Location,,30.271389,-89.793611,LIX,LMRFC,LA,South Atlantic-Gulf Region,No,,0,4,8,14,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=lix&gage=bbsl1,HGIRZ,Yes,-9999 Feet,No routine,No,No,Yes,"St. Tammany Parish, LA",Yes,No,N/A,N/A,N/A,,0,-0.44,,,,St. Tammany Parish,America/Chicago
BIRCH BRANCH AT SHOWELL,at,Birch Branch,BBSM2,River Stage/Flow Location,US0148471320,38.409444,-75.2125,AKQ,MARFC,MD,Mid Atlantic Region,No,10.0,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=akq&gage=bbsm2,HGIRG,Yes,-9999 Feet,No routine,No,No,Yes,US Geological Survey,No,No,N/A,N/A,N/A,NAVD88,-0.84,-0.84,10.0,,,Worcester,America/New_York
Brandon,near,Big Sioux River,BBSS2,River Stage/Flow Location,,43.594568,-96.599785,FSD,MBRFC,SD,Missouri Region,No,,1302,1304,1307,1309,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=fsd&gage=bbss2,HGIRG,Yes,0 Feet,Data Point,No,No,Yes,South Dakota DANR,Yes,No,N/A,N/A,N/A,NAVD88,0,0.00,,,,Minnehaha,America/Chicago
Shepherd Drive,at,Buffalo Bayou,BBST2,River Stage/Flow Location,US08074000,29.760000,-95.408333,HGX,WGRFC,TX,Texas-Gulf Region,Yes,,17,28,29.5,32,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=hgx&gage=bbst2,HGIRG,Yes,-9999 Feet,High Water,No,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NAVD88,0,,,,NULL,Harris,America/Chicago
Signal Hill Road,at,Buckhall Branch,BBSV2,River Stage/Flow Location,,38.744210,-77.43674,LWX,MARFC,VA,Mid Atlantic Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=lwx&gage=bbsv2,HGIRR,Yes,-9999 Feet,Data Point,No,No,Yes,Prince William County,No,No,N/A,N/A,N/A,,,,,,,Prince William,America/New_York
Barbourville,at,Cumberland River,BBVK2,River Stage/Flow Location,US03403500,36.862222,-83.8875,JKL,OHRFC,KY,Ohio Region,No,942.97 ft,21.5,27,33,38,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=jkl&gage=bbvk2,HGIRG,Yes,-9999 Feet,Year-round,No,No,Yes,US Army Corps of Engineers,Yes,Yes,Yes,No,Yes,NGVD 1929,942.97,,942.97 ft,,,Knox,America/New_York
Wilmot,at,Bayou Bartholomew,BBWA4,River Stage/Flow Location,,33.071389,-91.578056,JAN,LMRFC,AR,Lower Mississippi Region,No,85.17,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=jan&gage=bbwa4,HGIRG,Yes,-9999 Feet,No routine,Yes,No,Yes,US Army Corps of Engineers,Yes,No,N/A,N/A,N/A,NGVD 1929,85.17,,85.17,,,Ashley,America/Chicago
Bryan,near,Brazos River,BBZT2,River Stage/Flow Location,US08108700,30.626667,-96.543889,HGX,WGRFC,TX,Texas-Gulf Region,No,,37,52,60,66,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=hgx&gage=bbzt2,HGIRG,Yes,0 Feet,Year-round,No,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NAVD88,188.78,,,,NULL,Brazos,America/Chicago
Brown Co Airport,,,BCAO1,Precipitation Location,,38.882222,-83.885278,ILN,OHRFC,OH,Ohio Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=iln&gage=bcao1,,Yes,,,No,No,No,US Geological Survey,No,No,N/A,N/A,N/A,,,,,,,Brown,America/New_York
Quebrada Santa Catalina,at,Rio Bayamon,BCAP4,River Stage/Flow Location,US50048565,18.407031,-66.118083,SJU,SERFC,PR,Caribbean Region,No,51,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=sju&gage=bcap4,HGIRG,Yes,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,No,No,N/A,N/A,N/A,NGDV29,51,,51,,,Guaynabo Municipio,America/Puerto_Rico
Lake Amon Carter,at,North Texas Lakes,BCAT2,River Stage/Flow Location,US08043700,33.474167,-97.862778,FWD,WGRFC,TX,Texas-Gulf Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=fwd&gage=bcat2,HPIRG,Yes,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,No,No,N/A,N/A,N/A,,0,,,,,,America/Chicago
Box Canyon Dam,below,Pend Oreille River,BCAW1,River Stage/Flow Location,US12396500,48.781111,-117.4163,OTX,NWRFC,WA,Pacific Northwest Region,No,1900,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=otx&gage=bcaw1,HGIRG,Yes,75 Feet,Data Point,No,No,Yes,US Geological Survey,No,No,N/A,N/A,N/A,NGVD29,1900,,1900,,,Pend Oreille,America/Los_Angeles
Hwy 93 Bridge,at,Burro Creek,BCBA3,River Stage/Flow Location,US09424447,34.541667,-113.444444,VEF,CBRFC,AZ,Lower Colorado Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=vef&gage=bcba3,HGIRG,Yes,-9999 Feet,Year-round,No,No,Yes,US Geological Survey,No,No,N/A,N/A,N/A,,1880,,,,,Mohave,America/Phoenix
Fairfield,near,Sun River,BCBM8,River Stage/Flow Location,,47.550833,-111.978611,TFX,MBRFC,MT,Missouri Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=tfx&gage=bcbm8,HGIRG,Yes,-9999 Feet,Data Point,No,No,No,US Geological Survey,Yes,No,N/A,N/A,N/A,,,,,,,Teton,America/Denver
151st Ave near Box Elder,at,Boxelder Creek,BCBS2,River Stage/Flow Location,US06423100,44.107377,-103.030287,UNR,MBRFC,SD,Missouri Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=unr&gage=bcbs2,HGIRZ,No,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,No,No,N/A,N/A,N/A,NAVD88,2985.77,2985.77,,,,Pennington,America/Denver
Bristol,at,Beaver Creek (VA),BCBV2,River Stage/Flow Location,,36.631667,-82.133889,MRX,LMRFC,VA,Tennessee Region,No,,10,12,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=mrx&gage=bcbv2,HGIRG,Yes,-9999 Feet,Data Point,No,No,No,US Geological Survey,Yes,No,N/A,N/A,N/A,,,,,,,,America/New_York
Box Canyon Dam Auxiliary Station,below,Pend Oreille River,BCBW1,River Stage/Flow Location,US12396500,48.781110,-117.4153,OTX,NWRFC,WA,Pacific Northwest Region,No,1900,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=otx&gage=bcbw1,HGIRG,Yes,75 Feet,Data Point,No,No,Yes,US Geological Survey,No,No,N/A,N/A,N/A,NGVD29,1900,,1900,,,Pend Oreille,America/Los_Angeles
Circle,near,Birch Creek,BCCA2,River Stage/Flow Location,,65.711110,-144.3333,PAFG,APRFC,AK,Alaska Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=pafg&gage=bcca2,HGIRG,No,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,No,No,N/A,N/A,N/A,,,,,,,Yukon-Koyukuk Census Area,America/Anchorage
Drainage Structure,above,Bayou Courtableau,BCCL1,River Stage/Flow Location,,30.545556,-91.874444,LCH,LMRFC,LA,Lower Mississippi Region,No,,18.5,19,20,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=lch&gage=bccl1,HGIRG,Yes,-9999 Feet,Data Point,No,No,Yes,U.S. Army Corps of Engineers,Yes,No,N/A,N/A,N/A,NGVD29,0,,,,,St. Landry Parish,America/Chicago
Tiff City,near,Buffalo Creek (MO),BCCM7,River Stage/Flow Location,US07189100,36.670800,-94.6039,SGF,ABRFC,MO,Arkansas-White-Red Region,No,,9,10,12,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=sgf&gage=bccm7,HGIRG,Yes,1 Feet,No routine,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NAVD88,781.86,786,,,,McDonald,America/Chicago
Consul 1SSW,near,Battle Creek,BCCQ8,River Stage/Flow Location,,49.286667,-109.522778,TFX,MBRFC,MT,Missouri Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=tfx&gage=bccq8,HGIRG,Yes,0 Feet,No routine,No,No,Yes,Water Survey of Canada,No,No,N/A,N/A,N/A,,,,,,,,America/Chicago
Canton,at,Beaver Creek (SD),BCCS2,River Stage/Flow Location,,43.300925,-96.605456,FSD,MBRFC,SD,Missouri Region,No,,1246,1247,1249,1251,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=fsd&gage=bccs2,HGIRG,Yes,0 Feet,Data Point,No,No,Yes,South Dakota DANR,Yes,No,N/A,N/A,N/A,NAVD88,0,0.00,,,,Lincoln,America/Chicago
Barton Springs,above,Barton Creek,BCCT2,Stage/Flow and Precipitation Location,US08155400,30.263333,-97.771944,EWX,WGRFC,TX,Texas-Gulf Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=ewx&gage=bcct2,HGIRG,Yes,0 Feet,No routine,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,,,430.73,,,,Travis,America/Chicago
Sherando,at,Back Creek,BCCV2,Stage/Flow and Precipitation Location,,37.980556,-78.953333,LWX,MARFC,VA,Mid Atlantic Region,No,,5,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=lwx&gage=bccv2,HGIRR,Yes,-9999 Feet,Data Point,No,No,No,US Geological Survey,Yes,No,N/A,N/A,N/A,,,,,,,Augusta,America/New_York
Buffalo,at,Clear Creek,BCCW4,River Stage/Flow Location,,44.343440,-106.7058,RIW,MBRFC,WY,Missouri Region,No,,5,6,7,7.5,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=riw&gage=bccw4,HGIRG,Yes,-9999 Feet,High Water,No,No,No,US Geological Survey,Yes,No,N/A,N/A,N/A,,4620.25,,,,4620.25 ft,Johnson,America/Denver
Bear Creek Reservoir,at,Bear Creek (CO),BCDC2,Stage/Flow and Precipitation Location,,39.653700,-105.1408,BOU,MBRFC,CO,Missouri Region,No,,5575,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=bou&gage=bcdc2,HPIRG,Yes,-9999 Feet,Data Point,No,No,Yes,U.S. Army Corps of Engineers,Yes,Yes,Yes,No,Yes,,0,,,0,,Jefferson,America/Denver
BEAR CREEK DAM,at,Bear Creek,BCDN7,River Stage/Flow Location,,35.241389,-83.072778,GSP,LMRFC,NC,Tennessee Region,No,,102,105,110,120,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=gsp&gage=bcdn7,HPIRZ,Yes,0 Feet,Data Point,No,No,No,US Geological Survey,No,No,N/A,N/A,N/A,,2363,,,,,Jackson,America/New_York
Route 1826 at Driftwood,below,Bear Creek,BCDT2,River Stage/Flow Location,US08158810,30.155278,-97.939722,EWX,WGRFC,TX,Texas-Gulf Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=ewx&gage=bcdt2,HGIRG,Yes,0 Feet,No routine,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,,,859.91,,,,Hays,America/Chicago
Big Cherry Dam,at,SF Powell River,BCDV2,River Stage/Flow Location,,36.846270,-82.671993,MRX,LMRFC,VA,Tennessee Region,No,,46,48,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=mrx&gage=bcdv2,HGIRR,Yes,,Data Point,No,No,No,US Geological Survey,No,No,N/A,N/A,N/A,,,,,,,Wise,America/New_York
Bucoda,near,Skookumchuck River,BCDW1,River Stage/Flow Location,US12026400,46.772046,-122.924298,SEW,NWRFC,WA,Pacific Northwest Region,No,198.19 ft,209.5,211.5,213,215,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=sew&gage=bcdw1,HGIRG,Yes,0 Feet,Year-round,No,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NAVD88,0,0,198.19 ft,,,,America/Los_Angeles
Buckeye Lake,,,BCEO1,Precipitation Location,,39.906667,-82.525556,ILN,OHRFC,OH,New England Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=iln&gage=bceo1,,Yes,-9999 Feet,No routine,No,No,No,US Geological Survey,No,No,N/A,N/A,N/A,,,,,,,Fairfield,America/New_York
Big Bend,at,Beaver Creek,BCFA2,River Stage/Flow Location,,65.403200,-147.8343,PAFG,APRFC,AK,Alaska Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=pafg&gage=bcfa2,,Yes,-9999 Feet,No routine,No,No,Yes,Bureau of Land Management,No,No,N/A,N/A,N/A,,,,,,,,America/Anchorage
I-10 at Bonnet Carre Floodway,at,Tide Station (LIX),BCFL1,River Stage/Flow Location,,30.068333,-90.39,LIX,LMRFC,LA,South Atlantic-Gulf Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=lix&gage=bcfl1,HMIRG,Yes,-9999 Feet,No routine,No,No,Yes,NOAA/NOS/CO-OPS,Yes,No,N/A,N/A,N/A,NAVD88,,,,,,St. Charles Parish,America/Chicago
Winslow St at Fayetteville,at,Blounts Creek,BCFN7,River Stage/Flow Location,US0210398250,35.044521,-78.890172,RAH,SERFC,NC,South Atlantic-Gulf Region,No,,13,14,16,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=rah&gage=bcfn7,HGIRG,Yes,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,No,No,N/A,N/A,N/A,NAVD88,84.8,84.8,,,,Cumberland,America/New_York
Greenfield,at,Brandywine Creek in Indiana,BCGI3,River Stage/Flow Location,US03361605,39.785861,-85.755972,IND,OHRFC,IN,Ohio Region,No,,7,9,10.5,12.5,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=ind&gage=bcgi3,HGIRG,Yes,-9999 Feet,Data Point,Yes,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NAVD88,852.5,852.5,,,,Hancock,America/New_York
Highway 30 near Hagerman,at,Billingsley Creek,BCHI1,River Stage/Flow Location,,42.835280,-114.89335,BOI,NWRFC,ID,Pacific Northwest Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=boi&gage=bchi1,QRIRZ,Yes,-9999 Feet,No routine,No,No,No,US Geological Survey,Yes,No,N/A,N/A,N/A,,,,,,,Gooding,America/Denver
Big Chapman Lake near Warsaw,at,Northern Indiana Lakes,BCHI3,River Stage/Flow Location,US03331010,41.281389,-85.779722,IWX,OHRFC,IN,Ohio Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=iwx&gage=bchi3,HPIRG,No,-9999 Feet,Data Point,Yes,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,,,,,,,Kosciusko,America/New_York
Hinsdale,near,Beaver Creek (MT),BCHM8,River Stage/Flow Location,US06167500,48.420278,-107.171111,GGW,MBRFC,MT,Missouri Region,No,2130.0,12,14,16,17,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=ggw&gage=bchm8,HGIRG,Yes,-9999 Feet,High Water,No,No,Yes,US Geological Survey,No,Yes,Yes,Yes,Yes,NAVD88,2130,,2130.0,,,Valley,America/Denver
Blanchard,at,Bald Eagle Creek,BCHP1,River Stage/Flow Location,US01547500,41.051731,-77.604438,CTP,MARFC,PA,Mid Atlantic Region,No,579.79,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=ctp&gage=bchp1,HGIRG,Yes,0 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NGVD29,579.79,,579.79,,,Centre,America/New_York
Blanchardville,near,Pecatonica River,BCHW3,Stage/Flow and Precipitation Location,US05433000,42.785556,-89.861111,MKX,NCRFC,WI,Upper Mississippi Region,No,,9,11,14,16,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=mkx&gage=bchw3,HGIRP,Yes,-9999 Feet,High Water,No,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NAVD88,796.5,796.5 ft,796.8 ft,,,Lafayette,America/Chicago
Bacon Island at Old River,at,Sacramento-San Joaquin Delta,BCIC1,River Stage/Flow Location,,37.942222,-121.532778,STO,CNRFC,CA,California Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=sto&gage=bcic1,HGIRG,Yes,-9999 Feet,No routine,No,No,No,US Geological Survey,No,No,N/A,N/A,N/A,,,0,,,,San Joaquin,America/Los_Angeles
I-90 near Box Elder,at,Boxelder Creek,BCIS2,River Stage/Flow Location,US06423050,44.111543,-103.124873,UNR,MBRFC,SD,Missouri Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=unr&gage=bcis2,HGIRZ,No,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NAVD88,3063,3063,,,,Pennington,America/Denver
I-35 Round Rock,at,Brushy Creek,BCIT2,River Stage/Flow Location,US08105883,30.512778,-97.686389,EWX,WGRFC,TX,Texas-Gulf Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=ewx&gage=bcit2,HGIRG,Yes,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NAVD88,689.85,689.85 ft,,,,Williamson,America/Chicago
C.J. Strike Reservoir,below,Snake River,BCJI1,River Stage/Flow Location,,42.947240,-115.98031,BOI,NWRFC,ID,Pacific Northwest Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=boi&gage=bcji1,QRIRZ,Yes,-9999 Feet,No routine,No,No,No,US Geological Survey,Yes,No,N/A,N/A,N/A,,,,,,,Owyhee,America/Denver
Barry Steam Plant,at,Mobile River,BCKA1,River Stage/Flow Location,US02470629,31.002800,-88.011,MOB,SERFC,AL,South Atlantic-Gulf Region,No,-1.913 ft,7,12,17,22,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=mob&gage=bcka1,HGIRG,Yes,-9999 Feet,Year-round,No,No,No,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NGVD29,0,,-1.913 ft,,,Mobile,America/Chicago
Krotz Springs,near,Bayou Close,BCKL1,River Stage/Flow Location,,30.535000,-91.7003,LIX,LMRFC,LA,South Atlantic-Gulf Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=lix&gage=bckl1,HGIRG,Yes,-9999 Feet,No routine,No,No,Yes,U. S. Army Corps of Engineers,Yes,No,N/A,N/A,N/A,,,,,,,Pointe Coupee Parish,America/Chicago
Beckleysville,near,Georges Run,BCKM2,River Stage/Flow Location,US01581870,39.625833,-76.7725,LWX,MARFC,MD,Mid Atlantic Region,No,,6,7,10,12,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=lwx&gage=bckm2,HGIRG,Yes,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NAVD88,520.06,,,,,Baltimore,America/New_York
Boulder Creek,below,N Santiam River,BCKO3,River Stage/Flow Location,US14178000,44.706944,-122.1,PQR,NWRFC,OR,Pacific Northwest Region,No,1590.07,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=pqr&gage=bcko3,HGIRR,Yes,-9999 Feet,Year-round,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,,1590.07,,1590.07,,,Marion,America/Los_Angeles
Buckhorn Grange,,,BCKP1,Precipitation Location,,40.336389,-78.698889,CTP,OHRFC,PA,New England Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=ctp&gage=bckp1,,No,0 Feet,,No,No,No,US Geological Survey,No,No,N/A,N/A,N/A,,,,,,,Cambria,America/New_York
